[3, 3, 1, 4,
7, 3, 1, 4,
3, 4, 1, 4,
7, 4, 1, 4,
3, 6, 1, 4,
7, 6, 1, 4,
3, 7, 1, 4,
7, 7, 1, 4,
2, 3, 2, 2,
3, 3, 2, 4,
4, 3, 2, 3,
6, 3, 2, 0,
7, 3, 2, 4,
8, 3, 2, 1,
2, 4, 2, 2,
3, 4, 2, 4,
4, 4, 2, 3,
6, 4, 2, 0,
7, 4, 2, 4,
8, 4, 2, 1,
2, 6, 2, 0,
3, 6, 2, 4,
4, 6, 2, 1,
6, 6, 2, 2,
7, 6, 2, 4,
8, 6, 2, 3,
2, 7, 2, 0,
3, 7, 2, 4,
4, 7, 2, 1,
6, 7, 2, 2,
7, 7, 2, 4,
8, 7, 2, 3,
2, 3, 3, 4,
3, 3, 3, 4,
4, 3, 3, 4,
5, 3, 3, 4,
6, 3, 3, 4,
7, 3, 3, 4,
8, 3, 3, 4,
2, 4, 3, 4,
3, 4, 3, 4,
4, 4, 3, 4,
5, 4, 3, 4,
6, 4, 3, 4,
7, 4, 3, 4,
8, 4, 3, 4,
2, 5, 3, 4,
3, 5, 3, 4,
4, 5, 3, 4,
5, 5, 3, 4,
6, 5, 3, 4,
7, 5, 3, 4,
8, 5, 3, 4,
2, 6, 3, 4,
3, 6, 3, 4,
4, 6, 3, 4,
5, 6, 3, 4,
6, 6, 3, 4,
7, 6, 3, 4,
8, 6, 3, 4,
2, 7, 3, 4,
3, 7, 3, 4,
4, 7, 3, 4,
5, 7, 3, 4,
6, 7, 3, 4,
7, 7, 3, 4,
8, 7, 3, 4]
