[3, 3, 1, 9,
7, 3, 1, 9,
3, 6, 1, 9,
7, 6, 1, 9,
2, 3, 2, 4,
3, 3, 2, 9,
4, 3, 2, 5,
6, 3, 2, 6,
7, 3, 2, 9,
8, 3, 2, 7,
2, 6, 2, 0,
3, 6, 2, 9,
4, 6, 2, 1,
6, 6, 2, 2,
7, 6, 2, 9,
8, 6, 2, 3,
2, 3, 3, 8,
3, 3, 3, 8,
4, 3, 3, 8,
5, 3, 3, 8,
6, 3, 3, 8,
7, 3, 3, 8,
8, 3, 3, 8,
2, 4, 3, 8,
3, 4, 3, 8,
4, 4, 3, 8,
5, 4, 3, 8,
6, 4, 3, 8,
7, 4, 3, 8,
8, 4, 3, 8,
2, 5, 3, 8,
3, 5, 3, 8,
4, 5, 3, 8,
5, 5, 3, 8,
6, 5, 3, 8,
7, 5, 3, 8,
8, 5, 3, 8,
2, 6, 3, 8,
3, 6, 3, 8,
4, 6, 3, 8,
5, 6, 3, 8,
6, 6, 3, 8,
7, 6, 3, 8,
8, 6, 3, 8]
