MatIndex	X (m)	Y (m)	Z (m)
6	1.5	4.5	0.5
7	2.5	4.5	0.5
8	3.5	4.5	0.5
9	4.5	4.5	0.5
6	5.5	4.5	0.5
7	6.5	4.5	0.5
8	7.5	4.5	0.5
9	8.5	4.5	0.5
10	1.5	5.5	0.5
10	2.5	5.5	0.5
10	3.5	5.5	0.5
10	4.5	5.5	0.5
10	5.5	5.5	0.5
10	6.5	5.5	0.5
10	7.5	5.5	0.5
10	8.5	5.5	0.5
1	1.5	6.5	0.5
2	2.5	6.5	0.5
3	3.5	6.5	0.5
4	4.5	6.5	0.5
1	5.5	6.5	0.5
2	6.5	6.5	0.5
3	7.5	6.5	0.5
4	8.5	6.5	0.5
1	2.5	8.5	0.5
